location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Holstenstraße (Mitte), Kiel;2021-01-17 00:00:00 +0100;Sunday;2756;0;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2021-01-18 00:00:00 +0100;Monday;3020;4;rain;
Holstenstraße (Mitte), Kiel;2021-01-19 00:00:00 +0100;Tuesday;3478;6;rain;
Holstenstraße (Mitte), Kiel;2021-01-20 00:00:00 +0100;Wednesday;3922;8;rain;
Holstenstraße (Mitte), Kiel;2021-01-21 00:00:00 +0100;Thursday;5066;8;rain;
Holstenstraße (Mitte), Kiel;2021-01-22 00:00:00 +0100;Friday;3978;7;rain;
Holstenstraße (Mitte), Kiel;2021-01-23 00:00:00 +0100;Saturday;4171;5;rain;
Holstenstraße (Mitte), Kiel;2021-01-24 00:00:00 +0100;Sunday;3090;3;rain;
Holstenstraße (Mitte), Kiel;2021-01-25 00:00:00 +0100;Monday;5108;3;snow;
Holstenstraße (Mitte), Kiel;2021-01-26 00:00:00 +0100;Tuesday;5193;4;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2021-01-27 00:00:00 +0100;Wednesday;4202;3;snow;
Holstenstraße (Mitte), Kiel;2021-01-28 00:00:00 +0100;Thursday;4990;2;rain;
